modelo,accuracy,precision_macro,recall_macro,f1_macro
baseline_majoritario,0.056037884767166535,0.003113215820398141,0.05555555555555555,0.00589603055970769
mlp_hardcode,0.675611681136543,0.6720128130800385,0.6762126756084901,0.6677391901092363
mlp_sklearn,0.6775848460931334,0.6750432476855625,0.6785424472796233,0.6703405862516312
